sorteo_id,fecha,num1,num2,num3,num4,num5,num6
244,2025-09-10,38,6,29,42,35,32
245,2025-09-14,19,4,7,42,9,15
246,2025-09-14,9,4,13,30,0,22
247,2025-09-14,40,31,15,34,41,12
248,2025-09-14,6,11,44,31,1,42
249,2025-09-17,19,4,44,12,40,39
250,2025-09-17,4,15,20,29,16,35
251,2025-09-17,31,36,4,22,15,11
252,2025-09-17,3,17,21,9,19,41
253,2025-09-21,1,16,19,21,35,38
254,2025-09-21,23,20,37,30,11,21
255,2025-09-21,41,11,37,24,45,30
256,2025-09-21,45,25,21,14,18,29
257,2025-09-24,21,34,37,41,18,12
258,2025-09-24,6,3,17,21,31,24
259,2025-09-24,3,30,32,0,23,35
260,2025-09-24,41,15,2,42,36,44
261,2025-09-28,22,14,2,9,30,31
262,2025-09-28,33,13,18,12,4,10
263,2025-09-28,2,18,15,7,22,27
264,2025-09-28,38,12,28,23,33,11
265,2025-10-01,25,8,36,32,31,30
266,2025-10-01,27,3,18,8,1,20
267,2025-10-01,31,25,20,22,17,29
268,2025-10-01,43,20,42,28,7,39
269,2025-10-05,5,32,6,44,9,34
270,2025-10-05,6,20,44,45,13,25
271,2025-10-05,22,21,19,15,3,43
272,2025-10-05,26,6,41,20,45,30
273,2025-10-08,34,12,13,14,40,23
274,2025-10-08,15,37,21,42,27,45
275,2025-10-08,21,25,16,24,45,34
276,2025-10-08,18,13,43,0,25,17
277,2025-10-12,43,6,29,16,25,4
278,2025-10-12,43,12,18,0,28,29
279,2025-10-12,37,9,34,12,1,2
280,2025-10-12,17,33,1,25,6,12
281,2025-10-15,6,3,4,31,35,43
282,2025-10-15,39,29,36,30,15,16
283,2025-10-15,17,0,22,3,2,21
284,2025-10-15,6,38,10,1,16,21
285,2025-10-19,21,17,43,0,39,14
286,2025-10-19,26,33,44,41,21,6
287,2025-10-19,15,3,29,36,39,22
288,2025-10-19,22,23,29,1,35,24
289,2025-10-22,37,44,38,10,2,4
290,2025-10-22,6,30,25,31,44,7
291,2025-10-22,38,20,15,14,40,3
292,2025-10-22,12,11,40,31,19,1
293,2025-10-26,43,42,36,39,11,29
294,2025-10-26,34,32,24,20,5,14
295,2025-10-26,45,40,42,34,25,43
296,2025-10-26,29,31,17,33,35,39
297,2025-10-29,37,35,17,39,23,43
298,2025-10-29,0,32,35,3,39,29
299,2025-10-29,8,39,11,17,37,22
300,2025-10-29,0,10,15,16,27,25
301,2025-11-02,33,26,23,8,16,25
302,2025-11-02,40,22,31,20,34,38
303,2025-11-02,11,26,25,28,12,45
304,2025-11-02,16,4,0,44,10,36
305,2025-11-05,36,12,29,33,9,21
306,2025-11-05,14,45,30,18,41,35
307,2025-11-05,31,38,24,32,1,12
308,2025-11-05,24,9,30,17,34,40
309,2025-11-09,5,9,26,2,28,45
310,2025-11-09,17,22,26,5,18,21
311,2025-11-09,25,4,3,15,1,31
312,2025-11-09,40,33,17,30,41,37
313,2025-11-12,9,16,45,20,2,38
314,2025-11-12,39,38,4,24,19,23
315,2025-11-12,28,34,19,37,32,41
316,2025-11-12,32,13,22,12,16,0
317,2025-11-16,14,3,39,21,17,42
318,2025-11-16,29,0,44,1,22,12
319,2025-11-16,2,22,26,20,7,10
320,2025-11-16,19,26,5,24,43,20
321,2025-11-19,45,14,29,37,24,12
322,2025-11-19,18,29,34,30,3,33
323,2025-11-19,39,35,5,4,10,32
324,2025-11-19,22,43,41,25,38,40
325,2025-11-23,18,21,16,40,27,19
326,2025-11-23,36,14,18,0,19,2
